date, pm25, pm10, o3, no2, so2, co
2019/10/1, 82, 52, 29, 20, 2, 12
2019/10/2, 139, 15, 16, 21, 1, 12
2019/10/3, 87, 29, 28, 16, 2, 10
2019/10/4, 85, 49, 26, 21, 1, 14
2019/10/5, 105, 57, 24, 20, 1, 13
2019/10/6, 121, 40, 6, 20, 1, 12
2019/10/7, 98, , , , , 
2019/10/9, 53, 41, 11, 15, 1, 11
2019/10/10, 57, 60, 22, 21, 2, 16
2019/10/11, 122, 67, 27, 23, 1, 18
2019/10/12, 133, 78, 24, 24, 1, 13
2019/10/13, 158, 76, 39, 24, 4, 11
2019/10/14, 160, 76, 39, 26, 1, 12
2019/10/15, 155, 70, 26, 27, 1, 13
2019/10/16, 147, 68, 16, 27, 2, 15
2019/10/17, 132, 80, 27, 31, 1, 19
2019/10/18, 157, 83, 31, 27, 1, 17
2019/10/19, 155, 75, 33, 24, 1, 12
2019/10/20, 156, 92, 35, 23, 2, 13
2019/10/21, 173, 80, 32, 29, 2, 17
2019/10/22, 158, 109, 3, 35, 2, 22
2019/10/23, 186, , , , , 
2019/10/26, 88, 68, 24, 16, 2, 10
2019/10/27, 124, 130, 32, 20, 2, 8
2019/10/28, 187, 95, 32, 23, 2, 12
2019/10/29, 164, 103, 33, 26, 1, 16
2019/10/30, 172, 122, 35, 30, 1, 18
2019/10/31, 182, 125, 38, 32, 2, 18
2019/11/1, 176, 70, 30, 28, 2, 14
2019/11/2, 121, 87, 30, 24, 1, 11
2019/11/3, 143, 100, 34, 31, 2, 17
2019/11/4, 161, 142, 41, 36, 2, 21
2019/11/5, 192, 149, 39, 37, 2, 20
2019/11/6, 204, 112, 43, 40, 3, 13
2019/11/7, 165, 70, 19, 21, 1, 10
2019/11/8, 119, 24, 15, 9, 1, 9
2019/11/9, 49, 33, 24, 11, 1, 8
2019/11/10, 61, 55, 20, 20, 2, 14
2019/11/11, 83, 114, 43, 37, 3, 24
2019/11/12, 166, 118, 44, 41, 4, 20
2019/11/13, 173, 97, 38, 38, 3, 18
2019/11/14, 154, 95, 33, 33, 2, 18
2019/11/15, 143, 102, 45, 36, 2, 20
2019/11/16, 160, 108, 50, 34, 3, 18
2019/11/17, 163, 124, 58, 44, 3, 23
2019/11/18, 168, 117, 41, 39, 5, 17
2019/11/19, 164, 107, 49, 44, 3, 21
2019/11/20, 164, 114, 47, 41, 2, 17
2019/11/21, 165, 111, 42, 45, 4, 14
2019/11/22, 161, 126, 54, 43, 5, 18
2019/11/23, 172, 138, 52, 43, 3, 19
2019/11/24, 182, 130, 55, 51, 3, 24
2019/11/25, 176, 132, 45, 48, 2, 28
2019/11/26, 184, 129, 49, 42, 2, 19
2019/11/27, 181, 91, 38, 40, 2, 14
2019/11/28, 153, 108, 38, 44, 3, 22
2019/11/29, 166, 138, 37, 38, 5, 24
2019/11/30, 187, 125, 42, 21, 2, 18
2019/12/1, 171, 107, 40, 22, 3, 14
2019/12/2, 157, 124, 41, 27, 4, 16
2019/12/3, 170, 125, 51, 27, 8, 16
2019/12/4, 171, 107, 34, 27, 4, 12
2019/12/5, 161, 88, 41, 24, 3, 13
2019/12/6, 141, 94, 34, 26, 3, 17
2019/12/7, 144, 106, 30, 23, 5, 14
2019/12/8, 143, 87, 37, 25, 4, 12
2019/12/9, 142, 94, 25, 31, 3, 12
2019/12/10, 144, 88, 42, 20, 3, 12
2019/12/11, 149, 78, 37, 21, 2, 15
2019/12/12, 147, 109, 45, 21, 4, 14
2019/12/13, 166, 134, 48, 25, 5, 20
2019/12/14, 180, 110, 39, 19, 3, 12
2019/12/15, 168, 79, 33, 20, 6, 12
2019/12/16, 143, 88, 46, 18, 7, 13
2019/12/17, 152, 101, 55, 14, 5, 12
2019/12/18, 156, 97, 61, 17, 8, 9
2019/12/19, 152, 119, 47, 21, 5, 19
2019/12/20, 167, 148, 41, 22, 8, 23
2019/12/21, 247, 149, 33, 22, 3, 24
2019/12/22, 188, 143, 43, 21, 7, 19
2019/12/23, 191, 149, 36, 25, 6, 33
2019/12/24, 192, 161, 45, 32, 5, 36
2019/12/25, 193, 136, 27, 22, 4, 32
2019/12/26, 189, 88, 28, 16, 8, 23
2019/12/27, 157, 133, 33, 20, 8, 31
2019/12/28, 189, 113, 39, 21, 7, 29
2019/12/29, 173, , , , , 
2019/7/1, 62, 25, 18, 8, 1, 9
2019/7/2, 54, 34, 28, 11, 1, 9
2019/7/3, 57, 49, 34, 9, 2, 9
2019/7/4, 78, 41, 23, 10, 1, 9
2019/7/5, 66, 41, 23, 11, 2, 9
2019/7/6, 68, 28, 23, 7, 2, 8
2019/7/7, 52, 46, 24, 8, 2, 8
2019/7/8, 68, 46, 24, 8, 3, 9
2019/7/9, 75, 34, 24, 9, 2, 9
2019/7/10, 71, 40, 20, 9, 2, 9
2019/7/11, 78, 44, 24, 9, 3, 8
2019/7/12, 80, 46, 31, 8, 3, 8
2019/7/13, 90, 49, 41, 7, 6, 8
2019/7/14, 98, 60, 35, 12, 4, 8
2019/7/15, 112, 56, 31, 13, 4, 11
2019/7/16, 111, 71, 25, 11, 1, 12
2019/7/17, 141, 53, 15, 10, 1, 9
2019/7/18, 110, 20, 13, 7, 1, 7
2019/7/19, 55, 33, 18, 7, 1, 8
2019/7/20, 66, 35, 25, 5, 2, 8
2019/7/21, 66, 29, 18, 6, 1, 8
2019/7/22, 53, 20, 16, 6, 2, 8
2019/7/23, 55, 20, 20, 8, 3, 8
2019/7/24, 45, 44, 30, 14, 4, 9
2019/7/25, 95, 37, 19, 12, 1, 9
2019/7/26, 83, 31, 17, 13, 1, 10
2019/7/27, 73, 18, 13, 6, 1, 8
2019/7/28, 46, 21, 16, 10, 1, 8
2019/7/29, 44, 35, 15, 12, 1, 9
2019/7/30, 66, 36, 19, 12, 1, 9
2019/7/31, 67, 29, 20, 12, 3, 8
2019/8/1, 69, 24, 13, 10, 1, 9
2019/8/2, 58, 28, 14, 10, 1, 10
2019/8/3, 65, 49, 19, 13, 1, 12
2019/8/4, 108, 42, 19, 12, 1, 11
2019/8/5, 90, 33, 12, 11, 1, 11
2019/8/6, 71, 16, 14, 7, 1, 8
2019/8/7, 43, 23, 11, 9, 1, 8
2019/8/8, 42, 40, 21, 11, 2, 9
2019/8/9, 69, 45, 21, 14, 1, 12
2019/8/10, 80, 55, 20, 13, 1, 13
2019/8/11, 106, 42, 12, 11, 2, 11
2019/8/12, 86, 23, 13, 10, 1, 10
2019/8/13, 54, 45, 13, 11, 1, 10
2019/8/14, 89, 36, 15, 10, 1, 9
2019/8/15, 81, 47, 21, 12, 1, 10
2019/8/16, 88, 26, 14, 12, 1, 10
2019/8/17, 71, 26, 18, 9, 1, 8
2019/8/18, 69, 30, 17, 9, 1, 8
2019/8/19, 67, 40, 21, 10, 2, 10
2019/8/20, 81, 44, 16, 10, 1, 10
2019/8/21, 88, 47, 13, 13, 1, 10
2019/8/22, 90, 31, 10, 11, 1, 12
2019/8/23, 71, 37, 5, 14, 1, 13
2019/8/24, 74, 23, 10, 6, 1, 8
2019/8/25, 53, , , , , 
2019/8/30, 68, 49, 13, 9, 1, 9
2019/8/31, 59, 48, 3, 13, 1, 9
2019/9/1, 70, , , , , 
2019/9/4, 48, 24, 10, 9, 1, 10
2019/9/5, 45, 21, 11, 9, 1, 10
2019/9/6, 38, 24, 9, 10, 1, 10
2019/9/7, 49, 27, 10, 11, 1, 11
2019/9/8, 55, 37, 23, 11, 1, 11
2019/9/9, 73, 49, 19, 8, 1, 10
2019/9/10, 82, 43, 13, 12, 2, 10
2019/9/11, 68, 41, 10, 14, 1, 11
2019/9/12, 73, 43, 11, 9, 1, 9
2019/9/13, 62, , , , , 
2019/9/16, 84, 41, 9, 10, 1, 8
2019/9/17, 74, 32, 8, 9, 1, 9
2019/9/18, 48, 31, 10, 9, 1, 9
2019/9/19, 41, 47, 11, 17, 1, 12
2019/9/20, 69, 59, 15, 17, 2, 13
2019/9/21, 94, 46, 18, 15, 1, 11
2019/9/22, 73, 35, 13, 12, 1, 10
2019/9/23, 58, 28, 7, 10, 1, 8
2019/9/24, 37, 32, 5, 15, 1, 10
2019/9/25, 49, 39, 10, 14, 1, 10
2019/9/26, 63, 41, 16, 17, 1, 10
2019/9/27, 68, 41, 7, 16, 1, 10
2019/9/28, 68, 33, 10, 14, 1, 9
2019/9/29, 55, 33, 16, 15, 1, 8
2019/9/30, 64, 36, 23, 20, 3, 9
2019/4/1, 71, 54, 17, 10, 2, 6
2019/4/2, 98, 53, 14, 8, 2, 6
2019/4/3, 95, 47, 11, 8, 3, 5
2019/4/4, 92, 51, 13, 10, 2, 5
2019/4/5, 98, 52, 18, 18, 6, 6
2019/4/6, 99, 37, 28, 13, 5, 7
2019/4/7, 82, 40, 25, 13, 3, 6
2019/4/8, 81, 39, 16, 12, 3, 6
2019/4/9, 82, 32, 13, 13, , 7
2019/4/10, 66, 39, 14, 8, 1, 7
2019/4/11, 83, 40, 11, 10, 1, 6
2019/4/12, 83, 50, 23, 11, 2, 6
2019/4/13, 94, 41, 16, 7, 1, 6
2019/4/14, 93, 40, 12, 7, 2, 5
2019/4/15, 85, 52, 19, 10, 3, 6
2019/4/16, 107, 85, 18, 25, 9, 7
2019/4/17, 152, 92, 29, 25, 8, 8
2019/4/18, 151, 64, 22, 25, 8, 6
2019/4/19, 123, 58, 32, 16, 8, 7
2019/4/20, 107, 47, 25, 9, 2, 6
2019/4/21, 88, 54, 29, 20, 4, 7
2019/4/22, 111, 45, 32, 19, 4, 6
2019/4/23, 88, 39, 20, 14, 2, 5
2019/4/24, 80, 35, 17, 11, 2, 5
2019/4/25, 75, 48, 15, 12, 1, 5
2019/4/26, 93, 56, 15, 10, 2, 5
2019/4/27, 102, 46, 13, 8, 2, 5
2019/4/28, 80, 43, 9, 8, 2, 4
2019/4/29, 75, 33, 10, 8, 3, 5
2019/4/30, 58, 25, 9, 7, 1, 5
2019/5/1, 53, 26, 7, 11, 1, 4
2019/5/2, 49, 25, 11, 9, , 6
