date, pm25, pm10, o3, no2, so2, co
2017/5/1, , 39, 13, 12, 3, 7
2017/5/2, , 32, 22, 13, 3, 5
2017/5/3, , 40, 22, 13, 5, 6
2017/5/4, , 39, 18, 12, 3, 5
2017/5/5, , 44, 14, 11, 4, 7
2017/5/6, , 32, 47, 13, 5, 8
2017/5/7, , 31, 123, 12, 4, 5
2017/5/8, , 41, 15, 17, 5, 5
2017/5/9, , 56, 17, 19, 6, 9
2017/5/10, , 50, 16, 15, 6, 8
2017/5/11, , 54, 19, 19, 9, 6
2017/5/12, , 55, 19, 19, 10, 5
2017/5/13, , 59, 18, 19, 6, 8
2017/5/14, , 56, 24, 16, 4, 5
2017/5/15, , 55, 65, 18, 5, 9
2017/5/16, , 31, 226, 16, 4, 7
2017/5/17, , 83, 21, 19, 5, 7
2017/5/18, , 38, 27, 19, 9, 7
2017/5/19, , 44, 20, 16, 8, 5
2017/5/20, , 48, 19, 19, 7, 4
2017/5/21, , 43, 15, 15, 5, 4
2017/5/22, , 34, 16, 16, 5, 5
2017/5/23, , 39, 12, 15, 4, 3
2017/5/24, , 36, 13, 13, 6, 5
2017/5/25, , 39, 10, 13, 6, 5
2017/5/26, , 27, 19, 17, 8, 6
2017/5/27, , 31, 13, 17, 5, 6
2017/5/28, , 31, 20, 26, 6, 7
2017/5/29, , 35, 11, 20, 6, 9
2017/5/30, , 34, 122, 27, 5, 5
2017/5/31, , 38, 88, 14, 4, 7
2017/6/1, , 42, 57, 15, 5, 4
2017/6/2, , 37, 8, 12, 4, 8
2017/6/3, , 69, , , , 
2017/6/5, , 104, 264, 16, 5, 6
2017/6/6, , 89, , 19, 7, 6
2017/6/7, , 83, 264, 17, 4, 5
2017/6/8, , 94, , 17, 4, 7
2017/6/9, , 80, , 12, 4, 5
2017/6/10, , 30, , 16, 11, 7
2017/6/11, , 41, , 17, 5, 8
2017/6/12, , 25, 22, 23, 5, 6
2017/6/13, , 48, 13, 11, 4, 4
2017/6/14, , 31, 12, 12, 4, 5
2017/6/15, , 17, 24, 15, 7, 7
2017/6/16, , 34, 23, 14, 7, 7
2017/6/17, , 39, 20, 13, 8, 8
2017/6/18, , 30, 58, 15, 6, 7
2017/6/19, , 31, 45, 26, 10, 8
2017/6/20, , 30, 41, 26, 10, 7
2017/6/21, , 34, 20, 18, 7, 6
2017/6/22, , 32, 10, 46, 4, 5
2017/6/23, , 17, 7, 36, 4, 7
2017/6/24, , 32, 167, 59, 81, 6
2017/6/25, , 113, 131, 34, 39, 5
2017/6/26, , 65, 9, 17, 4, 8
2017/6/27, , 19, 30, 21, 7, 9
2017/6/28, , 26, 41, 19, 11, 6
2017/6/29, , 36, 7, 12, 4, 6
2017/6/30, , 21, 92, 40, 44, 6
2017/1/2, , 115, 12, 55, 2, 12
2017/1/3, , 112, 11, 39, 2, 9
2017/1/4, , 85, 11, 46, 3, 13
2017/1/5, , 101, 13, 31, 2, 17
2017/1/6, , 94, 10, 41, 2, 14
2017/1/7, , 96, 13, 44, 2, 20
2017/1/8, , 113, 17, 50, 11, 16
2017/1/9, , 146, 11, 37, 1, 11
2017/1/10, , 97, 11, 30, 2, 10
2017/1/11, , 62, 11, 37, 2, 10
2017/1/12, , 82, 13, 39, 2, 8
2017/1/13, , 115, 15, 42, 2, 13
2017/1/14, , 136, 14, 43, 3, 10
2017/1/15, , 126, 13, 47, 2, 13
2017/1/16, , 164, 14, 49, 3, 29
2017/1/17, , 291, 16, 53, 3, 20
2017/1/18, , 266, 16, 50, 3, 12
2017/1/19, , 122, 14, 52, 4, 18
2017/1/20, , 115, 14, 57, 2, 18
2017/1/21, , 134, 14, 50, 2, 9
2017/1/22, , 100, 12, 56, 2, 15
2017/1/23, , 101, 6, 62, 3, 16
2017/1/24, , 97, 3, 67, 3, 18
2017/1/25, , 107, , 62, 3, 16
2017/1/26, , 104, 4, 63, 3, 21
2017/1/27, , 116, 8, 48, 2, 14
2017/1/28, , 91, 11, 36, 2, 6
2017/1/29, , 59, 14, 48, 2, 10
2017/1/30, , 75, 17, 53, 3, 13
2017/1/31, , 89, 20, 46, 4, 12
2017/2/1, , 92, 14, 36, 2, 10
2017/2/2, , 89, 13, 48, 3, 13
2017/2/3, , 80, 15, 41, 3, 9
2017/2/4, , 86, 18, 41, 2, 12
2017/2/5, , 92, 19, 43, 3, 15
2017/2/6, , 108, 17, 53, 3, 16
2017/2/7, , 105, 16, 44, 3, 14
2017/2/8, , 137, 21, 57, 4, 9
2017/2/9, , 115, 18, 38, 5, 11
2017/2/10, , 96, 21, 40, 8, 12
2017/2/11, , 107, 22, 27, 7, 8
2017/2/12, , 94, 22, 40, 9, 14
2017/2/13, , 106, 21, 33, 9, 14
2017/2/14, , 103, 19, 20, 7, 11
2017/2/15, , 87, 23, 29, 8, 12
2017/2/16, , 99, 16, 25, 7, 18
2017/2/17, , 113, 17, 18, 8, 15
2017/2/18, , 81, 3, 14, 6, 11
2017/2/19, , 72, 15, 12, 6, 6
2017/2/20, , 67, 29, 21, 19, 7
2017/2/21, , 75, 11, 10, 4, 5
2017/2/22, , 38, 18, 11, 7, 9
2017/2/23, , 54, 22, 17, 10, 7
2017/2/24, , 76, 21, 15, 10, 8
2017/2/25, , 70, 24, 25, 11, 13
2017/2/26, , 152, 24, 22, 15, 8
2017/2/27, , 109, 25, 18, 9, 11
2017/2/28, , 80, 22, 21, 9, 12
2017/3/1, , 89, 31, 14, 6, 4
2017/3/2, , 67, 25, 13, 12, 6
2017/3/3, , 58, 23, 11, 5, 5
2017/3/4, , 52, 51, 10, 5, 6
2017/3/5, , 40, 21, 12, 6, 7
2017/3/6, , 50, 26, 20, 9, 7
2017/3/7, , 82, 5, 23, 3, 5
2017/3/8, , 20, 7, 15, 3, 7
2017/3/9, , 36, 9, 14, 4, 6
2017/3/10, , 29, 14, 12, 3, 6
2017/3/11, , 30, 17, 11, 4, 7
2017/3/12, , 44, 20, 13, 5, 9
2017/3/13, , 59, 27, 20, 5, 12
2017/3/14, , 71, 23, 20, 8, 12
2017/3/15, , 80, 24, 23, 9, 12
2017/3/16, , 72, 17, 13, 6, 9
2017/3/17, , 67, 20, 7, 8, 5
2017/3/18, , 54, 17, 8, 5, 8
2017/3/19, , 49, 14, 8, 5, 6
2017/3/20, , 49, 17, 8, 6, 8
2017/3/21, , 52, 32, 8, 7, 7
2017/3/22, , 40, 18, 9, 7, 8
2017/3/23, , 53, 22, 9, 5, 7
2017/3/24, , 51, 54, 8, 3, 9
2017/3/25, , 54, 14, 5, 2, 7
2017/3/26, , 55, 19, 6, 4, 7
2017/3/27, , 56, 12, 6, 2, 9
2017/3/28, , 46, 14, 6, 3, 6
2017/3/29, , 41, 9, 5, 4, 8
2017/3/30, , 38, 12, 5, 2, 8
2017/3/31, , 42, 10, 5, 4, 4
2016/10/1, , 18, 3, 8, 2, 5
2016/10/2, , 14, 6, 13, 2, 6
2016/10/3, , 30, 7, 15, 2, 5
2016/10/4, , 49, 5, 16, 2, 4
2016/10/5, , 40, 4, 12, 2, 6
2016/10/6, , 35, 2, 10, 2, 5
2016/10/7, , 16, 3, 10, 2, 5
2016/10/8, , 18, 2, 12, 2, 6
2016/10/9, , 21, 4, 9, 2, 6
2016/10/10, , 14, 4, 10, 2, 6
2016/10/11, , 13, 6, 12, 2, 7
2016/10/12, , 50, 8, 19, 2, 7
2016/10/13, , 70, 8, 26, 2, 6
2016/10/14, , 79, 8, 20, 2, 5
2016/10/15, , 68, 10, 18, 2, 8
2016/10/16, , 64, 8, 20, 2, 13
2016/10/17, , 60, 10, 20, 3, 12
2016/10/18, , 68, 8, 22, 2, 3
2016/10/19, , 67, 11, 21, 2, 8
2016/10/20, , 98, 12, 23, 2, 9
2016/10/22, , 76, 10, 23, 2, 11
2016/10/26, , 62, 5, 12, 2, 3
2016/10/27, , 37, 3, 14, 2, 8
2016/10/28, , 41, 6, 11, 2, 8
2016/10/29, , 38, 4, 13, 3, 9
2016/10/30, , 65, 3, 10, 2, 15
2016/10/31, , 59, 5, 12, 3, 18
2016/11/1, , 59, 8, 16, 2, 4
2016/11/2, , 57, 5, 15, 2, 
2016/11/3, , 42, 1, 16, 2, 
2016/11/4, , 46, 1, 9, 3, 
2016/11/5, , 14, 2, 9, 2, 
2016/11/6, , 35, 3, 11, 2, 8
2016/11/7, , 62, 4, 17, 3, 16
2016/11/8, , 82, 6, 16, 3, 16
2016/11/9, , 98, 7, 20, 2, 13
2016/11/10, , 107, 6, 21, 2, 14
2016/11/11, , 96, 6, 19, 3, 15
2016/11/12, , 85, 7, 17, 5, 15
2016/11/13, , 72, 7, 15, 3, 18
2016/11/14, , 83, 4, 18, 2, 18
2016/11/15, , 94, 4, 20, 2, 12
2016/11/16, , 85, 4, 20, 2, 12
2016/11/17, , 81, 3, 21, 2, 13
2016/11/18, , 87, 4, 24, 3, 15
2016/11/19, , 112, 4, 25, 2, 22
2016/11/20, , 163, 2, 21, 3, 25
2016/11/21, , 127, 3, 17, 2, 21
2016/11/22, , 121, 9, 18, 2, 23
2016/11/23, , 122, 20, 19, 3, 28
2016/11/24, , 122, 21, 18, 3, 22
2016/11/25, , 124, 21, 18, 2, 30
2016/11/26, , 142, 12, 15, 3, 28
2016/11/27, , 140, 12, 19, 2, 28
2016/11/28, , 124, 13, 28, 3, 25
2016/11/29, , 94, 15, 32, 3, 22
2016/11/30, , 96, 17, 26, 2, 10
2016/12/1, , 67, 16, 26, 2, 20
2016/12/2, , 77, 16, 29, 3, 19
2016/12/3, , 91, 17, 23, 2, 13
2016/12/4, , 94, 14, 20, 4, 10
2016/12/5, , 92, 15, 27, 2, 15
2016/12/6, , 86, 13, 34, 2, 19
2016/12/7, , 82, 13, 32, 2, 21
2016/12/8, , 91, 12, , 2, 17
2016/12/9, , 80, 15, 34, 3, 19
2016/12/10, , 88, , , , 
2016/12/12, , 93, 15, 44, 2, 17
2016/12/13, , 97, 14, 35, 2, 15
2016/12/14, , 108, 14, 37, 3, 18
2016/12/15, , 95, 12, 45, 2, 13
2016/12/16, , 86, 15, 51, 2, 10
2016/12/17, , 97, 14, 65, 2, 17
2016/12/18, , 120, 13, 59, 2, 15
2016/12/19, , 106, 10, 55, 3, 19
2016/12/20, , 108, 14, 65, , 26
2016/12/21, , 126, 11, 77, , 23
2016/12/22, , 142, 3, 63, , 21
2016/12/23, , 146, , , , 
2016/12/26, , 81, 13, 58, 2, 13
2016/12/27, , 98, 3, 34, 2, 9
2016/12/28, , 93, 5, 46, 2, 8
2016/12/29, , 97, 12, 69, 3, 17
2016/12/30, , 113, 10, 72, 3, 19
2016/12/31, , 121, 11, 54, 3, 25
2017/1/1, , 152, 13, 60, 3, 19
2016/8/28, , 18, 3, 9, 2, 4
2016/8/29, , 14, 3, 10, 2, 4
2016/8/30, , 18, 43, 16, 11, 4
2016/8/31, , 36, 44, 14, 11, 4
2016/9/1, , 36, 8, 8, 2, 4
2016/9/2, , 31, 4, 17, 2, 4
2016/9/3, , 30, 5, 12, 2, 3
2016/9/4, , 35, 4, 12, 2, 5
2016/9/5, , 22, 3, 11, 2, 4
2016/9/6, , 24, 3, 10, 2, 5
2016/9/7, , 33, 4, 12, 1, 4
2016/9/8, , 35, 4, 12, 4, 4
2016/9/9, , 28, 3, 11, 2, 3
2016/9/10, , 34, 3, 9, 2, 3
2016/9/11, , 23, 2, 9, 2, 4
2016/9/12, , 6, 3, 8, 2, 3
2016/9/13, , 5, 3, 8, 2, 4
2016/9/14, , 7, 3, 8, 2, 4
2016/9/15, , 8, 4, 11, 2, 4
2016/9/16, , 11, 2, 10, 3, 3
2016/9/17, , 46, 4, 9, 3, 4
2016/9/18, , 17, 4, 9, 3, 3
2016/9/19, , 34, 4, 7, 2, 4
2016/9/20, , 27, 2, 7, 2, 4
2016/9/21, , 8, 3, 9, 2, 4
2016/9/22, , 8, 2, 8, 2, 5
2016/9/23, , 8, 3, 8, 3, 5
2016/9/24, , 6, 3, 8, 4, 4
2016/9/25, , 7, 3, 10, 2, 5
2016/9/26, , 6, 3, 12, 2, 4
2016/9/27, , 16, 1, 12, 2, 5
2016/9/28, , 39, 1, 11, 2, 5
2016/9/29, , 30, 2, 9, 2, 5
2016/9/30, , 19, 2, 9, 2, 5
2017/10/11, , , 9, 10, 3, 7
2017/10/15, , , 21, 26, 2, 11
2017/7/5, , , 3, 35, 5, 12
2017/7/30, , , 8, 29, 4, 
2016/10/21, , , 10, 25, 2, 15
2016/10/23, , , 10, 23, 2, 8
2016/10/24, , , 11, 22, 2, 8
2016/10/25, , , 7, 23, 2, 11
2016/12/11, , , 7, 36, 3, 21
2016/12/25, , , 2, 88, 2, 25
2016/8/27, , , 3, 9, 2, 4
2017/6/4, , , , 18, 3, 5
